Replay 7|false|11160
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.9184302757491167e-10,1.0000001192092896,-3.081525434822652e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|2.1270556149755038e-10,1.0000001192092896,-3.416635152575509e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.6920742584858317e-10,1.0000001192092896,-2.717935743135058e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|8.226687386869713e-11,1.0000001192092896,-1.3214318528298463e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-4.599394216181496e-12,1.0000001192092896,7.387889744414622e-10|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-9.139145690229e-11,1.0000001192092896,1.4679976345632895e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-1.7810937447126918e-10,1.0000001192092896,2.8609253632794207e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-1.9287617336605223e-10,1.0000001192092896,3.0981208709590646e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-1.3578406454772818e-10,1.0000001192092896,2.1810647510278613e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-5.023733859466084e-11,1.0000001192092896,8.069496182372404e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-2.1746130937638775e-11,1.0000001192092896,3.4930254244613934e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|3.519978059030038e-11,1.0000001192092896,-5.6540510051661386e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|9.209703832890881e-11,1.0000001192092896,-1.479331146470031e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.4894568911572037e-10,1.0000001192092896,-2.3924766168192946e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|2.057457815229924e-10,1.0000001192092896,-3.3048419112446936e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.9376553139771602e-10,1.0000001192092896,-3.1124063326615214e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.130930973869404e-10,1.0000001192092896,-1.81658563747078e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|3.248958740931229e-11,1.0000001192092896,-5.218719234534319e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-4.804506098521344e-11,1.0000001192092896,7.717355643421797e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.2037257475505658e-11,1.0000001192092896,-1.9335140155618546e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-2.4046041199876633e-11,1.0000001192092896,3.8624543563514635e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-1.876984678794713e-11,1.0000001192092896,3.0149527319167646e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-1.6833393403151153e-12,1.0000001192092896,2.7039051553323645e-10|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|9.695508285112453e-12,1.0000001192092896,-1.557364792681426e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|2.1064639615930858e-11,1.0000001192092896,-3.3835594326347973e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.7451371944754435e-11,1.0000001192092896,-2.803169252274529e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.5645896037086438e-11,1.0000001192092896,-2.5131603464956243e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.2037257475505658e-11,1.0000001192092896,-1.9335140155618546e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|6.630075394947754e-12,1.0000001192092896,-1.0649721104982746e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.2298147526387804e-12,1.0000001192092896,-1.9754201052712972e-10|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-2.366516704821464e-12,1.0000001192092896,3.801275683112948e-10|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-7.755257373787128e-12,1.0000001192092896,1.2457072040561457e-09|Running
-922.9383544921875,168.99998474121094,875.8223266601562|0.9693548083305359,0.00001525870175100863,-0.24566510319709778|-0.000015707808415754698,1.0000001192092896,1.3133444554114249e-07|Running
-922.880126953125,168.99998474121094,875.6416625976562|0.9260536432266235,0.000015259254723787308,-0.37739187479019165|-0.000015623454601154663,1,0.0000020962211237929296|Running
-922.6633911132812,168.99998474121094,875.2371215820312|0.8637611865997314,0,-0.5039013624191284|-6.023484502293286e-07,1,-0.0000010325140920031117|Running
-922.3380126953125,168.99998474121094,874.7485961914062|0.8090764284133911,0,-0.5877034664154053|-2.490266126642382e-07,1,-3.428286277085135e-07|Running
-922.031005859375,168.99998474121094,874.3540649414062|0.7765451073646545,0,-0.630061686038971|-1.3516383035039325e-07,1,-1.6658813706271758e-07|Running
-921.7073364257812,168.99998474121094,873.972900390625|0.7542756199836731,0,-0.6565579175949097|-5.5033559931416676e-08,1,-6.322439105588273e-08|Running
-921.2970581054688,168.99998474121094,873.53515625|0.7387431263923645,0,-0.6739871501922607|-2.3968848239519502e-08,1,-2.6271749220541096e-08|Running
-920.946044921875,168.99998474121094,873.1790161132812|0.7315706014633179,0,-0.6817656755447388|-1.718741948764091e-08,1,-1.8443008897861546e-08|Running
-920.6629028320312,168.99998474121094,872.8964233398438|0.7279688119888306,0,-0.685610294342041|-1.2949383787486113e-08,1,-1.3749425598064136e-08|Running
-920.3037109375,168.99998474121094,872.548583984375|0.7258933782577515,0,-0.6878073215484619|-7.822798409051757e-09,1.0000001192092896,-8.255971017945285e-09|Running
-919.9420776367188,168.99998474121094,872.2033081054688|0.7252402305603027,0,-0.6884959936141968|-3.1806408617995885e-09,1.0000001192092896,-3.350387967060442e-09|Running
-919.7249145507812,168.99998474121094,871.9962158203125|0.7250314354896545,0,-0.6887157559394836|-4.158278443799901e-10,1,-4.3775427727155147e-10|Running
-919.3574829101562,168.99998474121094,871.656982421875|0.7263679504394531,0,-0.6873061060905457|3.9105958471452595e-09,1.0000001192092896,4.132847397642081e-09|Running
-919.0630493164062,168.99998474121094,871.386474609375|0.7277321219444275,0,-0.6858614683151245|6.664274909695678e-09,1,7.071117469337196e-09|Running
-918.7686157226562,168.99998474121094,871.115966796875|0.7289450168609619,0,-0.6845723390579224|8.822985897438684e-09,1.0000001192092896,9.394875100099398e-09|Running
-918.4741821289062,168.99998474121094,870.845458984375|0.7300375699996948,0,-0.6834069490432739|1.0526719940173734e-08,1,1.1244985387293127e-08|Running
-918.176513671875,168.99998474121094,870.5782470703125|0.7317774295806885,0,-0.6815436482429504|1.1473939132145006e-08,1,1.2319635978030874e-08|Running
-917.8782348632812,168.99998474121094,870.3116455078125|0.7336862683296204,0,-0.6794883608818054|1.11765858790136e-08,1,1.2068061217007653e-08|Running
-917.5798950195312,168.99998474121094,870.0449829101562|0.7353577613830566,0,-0.6776790618896484|9.820180224551223e-09,1,1.0655996085517927e-08|Running
-917.202392578125,168.99998474121094,869.7171630859375|0.7385106086730957,0,-0.674241840839386|5.913588285721971e-09,1,6.477272052052285e-09|Running
-916.9755249023438,168.99998474121094,869.5208129882812|0.7404011487960815,0,-0.6721653342247009|1.9148838070748297e-09,1.0000001192092896,2.1092760871255223e-09|Running
-916.59521484375,168.99998474121094,869.1961669921875|0.7437613606452942,0,-0.6684452891349792|-7.463892615078294e-09,1,-8.304875009912394e-09|Running
-916.290771484375,168.99998474121094,868.9365844726562|0.7462430596351624,0,-0.6656736731529236|-1.7388208206625677e-08,1.0000001192092896,-1.9492778946528233e-08|Running
-915.9080810546875,168.99998474121094,868.6146240234375|0.7494565844535828,0,-0.6620535254478455|-3.2389415594025195e-08,1,-3.666540493441062e-08|Running
-915.5979614257812,168.99998474121094,868.3619995117188|0.7528526782989502,0,-0.6581891775131226|-2.600522819307116e-08,1,-2.9745409690917768e-08|Running
-915.2871704101562,168.99998474121094,868.1102294921875|0.7562326192855835,0,-0.6543029546737671|-1.8174011628957487e-08,1.0000001192092896,-2.1005224226655628e-08|Running
-914.8901977539062,168.99998474121094,867.8062133789062|0.762371301651001,0,-0.6471397876739502|-9.907704878742152e-09,1,-1.1671898114684609e-08|Running
-914.4034423828125,168.99998474121094,867.4553833007812|0.7723177075386047,0,-0.6352365016937256|-1.2633901924630209e-08,1,-1.5360241079065418e-08|Running
-913.9103393554688,168.99998474121094,867.1135864257812|0.7828004360198975,0,-0.6222729086875916|-1.790889392339068e-08,1.0000001192092896,-2.252884456765969e-08|Running
-913.4125366210938,168.99998474121094,866.7786865234375|0.7928394675254822,0,-0.6094304919242859|-1.9144078322597124e-08,1.0000001192092896,-2.4905515871864736e-08|Running
-912.9057006835938,168.99998474121094,866.4574584960938|0.8037052750587463,0,-0.5950275659561157|-1.8373530252802084e-08,1,-2.4817175869884522e-08|Running
-912.28271484375,168.99998474121094,866.1387329101562|0.8250077962875366,0,-0.5651214718818665|-2.3593230480400962e-08,1.0000001192092896,-3.444321450274401e-08|Running
-911.826904296875,168.99998474121094,865.9335327148438|0.8415590524673462,0,-0.5401651859283447|-2.623107597798935e-08,1,-4.0867128348054393e-08|Running
-911.2674560546875,168.99998474121094,865.7168579101562|0.8625877499580383,0,-0.505907416343689|-3.045998298034647e-08,1,-5.193521346313901e-08|Running
-910.6981201171875,168.99998474121094,865.527587890625|0.8832603693008423,0,-0.46888303756713867|-3.177567009515769e-08,1.0000001192092896,-5.985755535675708e-08|Running
-910.1201171875,168.99998474121094,865.3668823242188|0.9030319452285767,0,-0.4295734167098999|-3.10542667136815e-08,1,-6.528102858283091e-08|Running
-909.7321166992188,168.99998474121094,865.269775390625|0.9146026372909546,0,-0.4043538570404053|-2.783202823763986e-08,1,-6.295289978197616e-08|Running
-909.3433837890625,168.99998474121094,865.1754760742188|0.9243808388710022,0,-0.3814711272716522|-2.20742855105982e-08,1.0000001192092896,-5.349041032332025e-08|Running
-908.9535522460938,168.99998474121094,865.086181640625|0.9329123497009277,0,-0.3601035475730896|-1.713250696866453e-08,1,-4.438480871726824e-08|Running
-908.5635986328125,168.99998474121094,864.9976196289062|0.9400426149368286,0,-0.3410568833351135|-1.328268783851172e-08,1,-3.6610586562346725e-08|Running
-908.1732177734375,168.99998474121094,864.9105834960938|0.9460262060165405,0,-0.32409027218818665|-1.1309821523752817e-08,1.0000001192092896,-3.301360251839469e-08|Running
-907.6845703125,168.99998474121094,864.8048706054688|0.9523937106132507,0,-0.30487096309661865|-9.950467116937034e-09,1.0000001192092896,-3.108450385980177e-08|Running
-907.2930908203125,168.99998474121094,864.7227783203125|0.9567019939422607,0,-0.2910693287849426|-9.618553065138258e-09,1.0000001192092896,-3.161476769264482e-08|Running
-906.9014282226562,168.99998474121094,864.6411743164062|0.9602913856506348,0,-0.27899906039237976|-8.988692457023717e-09,1,-3.0938327455487524e-08|Running
-906.411865234375,168.99998474121094,864.5391235351562|0.9639607667922974,0,-0.26604437828063965|-7.617688702055148e-09,1,-2.7601233298923944e-08|Running
-906.117919921875,168.99998474121094,864.4793701171875|0.9658692479133606,0,-0.25902995467185974|-7.041146776742835e-09,1,-2.6254982188333997e-08|Running
-905.7257690429688,168.99998474121094,864.4002075195312|0.9681022763252258,0,-0.2505554258823395|-6.742375546764379e-09,1,-2.6051358403833547e-08|Running
-905.2350463867188,168.99998474121094,864.3040161132812|0.970607578754425,0,-0.2406681925058365|-6.695502374753914e-09,1.0000001192092896,-2.7002760916161606e-08|Running
-904.8424682617188,168.99998474121094,864.227294921875|0.9722930788993835,0,-0.2337653785943985|-6.502135274644161e-09,1,-2.7044130490594398e-08|Running
-904.4498291015625,168.99998474121094,864.1505737304688|0.9737110137939453,0,-0.22778722643852234|-5.5607776161537e-09,1.0000001192092896,-2.377038654799435e-08|Running
-904.0572509765625,168.99998474121094,864.0738525390625|0.974881649017334,0,-0.22272370755672455|-6.3245355619301336e-09,1.0000001192092896,-2.7683059400374077e-08|Running
-903.4676513671875,168.99998474121094,863.9623413085938|0.9765546917915344,0,-0.2152692824602127|-4.828125010902795e-09,1,-2.1902465618950373e-08|Running
-903.0745849609375,168.99998474121094,863.8883666992188|0.9774986505508423,0,-0.21094195544719696|-4.699404421160125e-09,1.0000001192092896,-2.177689673033001e-08|Running
-902.6815185546875,168.99998474121094,863.8143310546875|0.9782698750495911,0,-0.20733608305454254|-5.370405897764385e-09,1.0000001192092896,-2.5339081943798192e-08|Running
-902.3866577148438,168.99998474121094,863.7588500976562|0.9787707328796387,0,-0.20495834946632385|-6.235253202646618e-09,1.0000001192092896,-2.9776213494869808e-08|Running
-901.9935913085938,168.99998474121094,863.6848754882812|0.9793434739112854,0,-0.20220397412776947|-4.877326986729713e-09,1.0000001192092896,-2.3622574119031015e-08|Running
-901.6009521484375,168.99998474121094,863.6087036132812|0.9797192811965942,0,-0.20037493109703064|-2.931866305289077e-09,1,-1.4335156173217456e-08|Running
-901.2083740234375,168.99998474121094,863.5322265625|0.9799917936325073,0,-0.19903793931007385|-1.1589005310952416e-09,1,-5.706012995432275e-09|Running
-900.7186279296875,168.99998474121094,863.4315795898438|0.9799798727035522,0,-0.19909656047821045|9.624140373531986e-10,1.0000001192092896,4.7371306877153074e-09|Running
-900.2306518554688,168.99998474121094,863.3226928710938|0.9794304370880127,0,-0.20178207755088806|3.001427995030781e-09,1,1.4568637851652966e-08|Running
-899.8411254882812,168.99998474121094,863.231689453125|0.978746235370636,0,-0.20507529377937317|4.303390532811591e-09,1.0000001192092896,2.0538442058182227e-08|Running
-899.452392578125,168.99998474121094,863.1378173828125|0.9779184460639954,0,-0.20898719131946564|5.031096872443186e-09,1.0000001192092896,2.3542122917774577e-08|Running
-898.9678955078125,168.99998474121094,863.0140380859375|0.9765546917915344,0,-0.2152692824602127|4.5756278765907155e-09,1,2.0757028096340946e-08|Running
-898.5802612304688,168.99998474121094,862.915283203125|0.975546658039093,0,-0.21979250013828278|2.7060405027867773e-09,1,1.201073107637285e-08|Running
-898.1925659179688,168.99998474121094,862.8167724609375|0.9746866822242737,0,-0.22357550263404846|-2.213890876179292e-10,1.0000001192092896,-9.651549559563932e-10|Running
-897.7079467773438,168.99998474121094,862.69384765625|0.9737818241119385,0,-0.2274843156337738|-4.982552592736056e-09,1,-2.132858867298637e-08|Running
-897.3202514648438,168.99998474121094,862.595703125|0.9731821417808533,0,-0.2300359606742859|-5.250813561730183e-09,1,-2.22139089345319e-08|Running
-896.8348999023438,168.99998474121094,862.4755859375|0.9727033972740173,0,-0.23205234110355377|-5.893247223553999e-09,1.0000001192092896,-2.4702966783252123e-08|Running
-896.4464721679688,168.99998474121094,862.3798828125|0.9724553823471069,0,-0.23308901488780975|-6.500171956247414e-09,1.0000001192092896,-2.71189399825289e-08|Running
-896.0576171875,168.99998474121094,862.2862548828125|0.9723795652389526,0,-0.23340527713298798|-7.1090564546238966e-09,1,-2.9616730401471614e-08|Running
-895.5707397460938,168.99998474121094,862.17236328125|0.9725555181503296,0,-0.2326711118221283|-7.816580271935436e-09,1.0000001192092896,-3.2672978989012336e-08|Running
-895.0831909179688,168.99998474121094,862.061279296875|0.9870812296867371,0,-0.1602206528186798|-3.620415078842143e-10,1,-2.230451379148235e-09|Running
-894.5943603515625,168.99998474121094,861.9564208984375|0.9870426654815674,0,-0.1604585200548172|-3.6345715326291383e-10,1.0000001192092896,-2.2357660167671156e-09|Running
-894.1049194335938,168.99998474121094,861.8541870117188|0.9870426654815674,0,-0.1604585200548172|-3.6307240547373e-10,1.0000001192092896,-2.2333994653678246e-09|Running
-893.712890625,168.99998474121094,861.7749633789062|0.9870426654815674,0,-0.1604585200548172|-2.9017860336821855e-10,1.0000001192092896,-1.7850012579145869e-09|Running
-893.2222900390625,168.99998474121094,861.6782836914062|0.9870426654815674,0,-0.1604585200548172|-3.6237426948027007e-10,1.0000001192092896,-2.2291049006639696e-09|Running
-892.7315673828125,168.99998474121094,861.5818481445312|0.9870426654815674,0,-0.1604585200548172|-3.6198707920043205e-10,1.0000001192092896,-2.2267232502315437e-09|Running
-892.2405395507812,168.99998474121094,861.4879150390625|0.9870426654815674,0,-0.1604585200548172|-3.616000554540477e-10,1.0000001192092896,-2.2243422659329326e-09|Running
-891.7493896484375,168.99998474121094,861.39453125|0.9921799302101135,0,-0.1248159408569336|-2.226304557373382e-10,1,-1.7697217025158807e-09|Running
-891.2555541992188,168.99998474121094,861.3167724609375|0.9976019263267517,0,-0.06921263784170151|-7.287474096395741e-11,1.0000001192092896,-1.0503858893784468e-09|Running
-890.6583862304688,168.99998474121094,861.2590942382812|0.9995707273483276,0,-0.029296815395355225|-1.8590216172009733e-11,1,-6.342749658827529e-10|Running
-890.1591796875,168.99998474121094,861.2318115234375|0.9999547004699707,0,-0.009521634317934513|-2.5645410274555136e-12,1.0000001192092896,-2.693261169639527e-10|Running
-889.659423828125,168.99998474121094,861.2156982421875|0.9999988079071045,0,-0.0015258770436048508|-2.5099605553691173e-13,1.0000001192092896,-1.644927805077856e-10|Running
-889.0595703125,168.99998474121094,861.2023315429688|0.9999988079071045,0,-0.0015869121998548508|-3.143934494253403e-13,1.0000001192092896,-1.9811624563104147e-10|Running
-888.459716796875,168.99998474121094,861.1895141601562|0.999954104423523,0,-0.00958266481757164|-3.0954299453517242e-12,1,-3.230090916961359e-10|Running
-887.85986328125,168.99998474121094,861.1725463867188|0.9998444318771362,0,-0.01763964630663395|-7.912382554708941e-12,1,-4.4848699753963217e-10|Running
-887.3602905273438,168.99998474121094,861.154541015625|0.9998444318771362,0,-0.01763964630663395|-6.585906733164171e-12,1,-3.733001130434843e-10|Running
-886.8607177734375,168.99998474121094,861.134033203125|0.9996713399887085,0,-0.0256341639906168|-1.2223884231221671e-11,1,-4.767023997764852e-10|Running
