Replay 7|false|11160
-776.3248901367188,173.2802276611328,859.7469482421875|0.9995115995407104,0,-0.0312499962747097|1.8359880282758922e-09,1,5.872292874187224e-08|Landed
-776.0249633789062,172.69346618652344,859.7379760742188|0.9995115995407104,0,-0.0312499962747097|1.3759613448627306e-09,1,4.400926201242328e-08|Landed
-775.5250854492188,171.64743041992188,859.7230224609375|0.9995115995407104,0,-0.0312499962747097|2.2913089203768777e-09,1,7.328608120360514e-08|Running
-775.2251586914062,170.9789276123047,859.7140502929688|0.9995115995407104,0,-0.0312499962747097|1.3736102255634819e-09,1,4.393406172198411e-08|Running
-774.8252563476562,170.8170623779297,859.7020874023438|0.9995115995407104,0,-0.0312499962747097|1.8301109516727365e-09,1,5.8534954661126903e-08|Running
-774.5253295898438,170.89480590820312,859.693115234375|0.9995115995407104,0,-0.0312499962747097|1.3715565350125303e-09,1,4.3868375598776765e-08|Running
-774.0254516601562,171.01010131835938,859.6781616210938|0.9995115995407104,0,-0.0312499962747097|2.283974120942389e-09,1,7.305148130853922e-08|Running
-773.6255493164062,171.06277465820312,859.6661987304688|0.9995115995407104,0,-0.0312499962747097|1.8254227018843494e-09,1,5.838500527488577e-08|Running
-773.2256469726562,171.09222412109375,859.6542358398438|0.9995115995407104,0,-0.0312499962747097|1.823862838534751e-09,1,5.8335114516694375e-08|Running
-772.8257446289062,171.10838317871094,859.6422729492188|0.9995115995407104,0,-0.0312499962747097|1.8223041964304798e-09,1,5.828525928563977e-08|Running
-772.4258422851562,171.11720275878906,859.6303100585938|0.9995115995407104,0,-0.0312499962747097|1.8207466645492332e-09,1,5.823544313443563e-08|Running
-771.9259643554688,171.12281799316406,859.6153564453125|0.9995115995407104,0,-0.0312499962747097|2.2737451921273077e-09,1,7.272431901128584e-08|Running
-771.4260864257812,171.12545776367188,859.6004028320312|0.9995115995407104,0,-0.0312499962747097|2.2713166902832427e-09,1,7.264664247941255e-08|Running
-771.0261840820312,171.12649536132812,859.5884399414062|0.9995115995407104,0,-0.0312499962747097|1.815306349683965e-09,1,5.8061438323875336e-08|Running
-770.6262817382812,171.12705993652344,859.5764770507812|0.9995115995407104,0,-0.0312499962747097|1.8137549240293538e-09,1,5.801181757192353e-08|Running
-770.2263793945312,171.1273651123047,859.5645141601562|0.9995115995407104,0,-0.0312499962747097|1.8122037204193475e-09,1,5.796220392539908e-08|Running
-769.7265014648438,171.12757873535156,859.549560546875|0.9995115995407104,0,-0.0312499962747097|2.2630775031728945e-09,1,7.238311638957384e-08|Running
-769.4265747070312,171.1276397705078,859.5405883789062|0.9995115995407104,0,-0.0312499962747097|1.3566858747537935e-09,1,4.339274894959999e-08|Running
-769.0266723632812,171.12770080566406,859.5286254882812|0.9995115995407104,0,-0.0312499962747097|1.807561211819575e-09,1,5.7813714704479935e-08|Running
-768.6267700195312,171.12770080566406,859.5166625976562|0.9995096921920776,0,-0.031310971826314926|1.809510097317002e-09,1,5.776323064310418e-08|Running
-768.2268676757812,171.12770080566406,859.5046997070312|0.9995096921920776,0,-0.031310971826314926|1.8079645558444213e-09,1,5.771389410824668e-08|Running
-767.8269653320312,171.12770080566406,859.4927368164062|0.9995096921920776,0,-0.031310971826314926|1.8064202356171677e-09,1,5.766459665323964e-08|Running
-767.3270874023438,171.12770080566406,859.477783203125|0.9995096921920776,0,-0.031310971826314926|2.255854614219288e-09,1,7.201144569535245e-08|Running
-766.8272094726562,171.12770080566406,859.4628295898438|0.9992295503616333,0,-0.03924650698900223|2.818247413216568e-09,1,7.175354710398096e-08|Running
-766.4275512695312,171.12770080566406,859.447998046875|0.9992271661758423,0,-0.039307452738285065|2.2558890311330515e-09,1,5.7346518644862954e-08|Running
-765.8280639648438,171.12770080566406,859.425048828125|0.9988836050033569,0,-0.047240372747182846|4.053043234364395e-09,1.0000001192092896,8.570039256028394e-08|Running
-765.3284912109375,171.12770080566406,859.4024047851562|0.997998833656311,0,-0.06323324143886566|4.49375026079224e-09,1.0000001192092896,7.092405240882727e-08|Running
-764.8294677734375,171.12770080566406,859.372314453125|0.9968570470809937,0,-0.07922123372554779|5.595057750440446e-09,1,7.040375749056693e-08|Running
-764.2313232421875,171.12770080566406,859.326416015625|0.9942532181739807,0,-0.10705464333295822|8.975157506085907e-09,1.0000001192092896,8.335537415860017e-08|Running
-763.8334350585938,171.12770080566406,859.2857055664062|0.9938180446624756,0,-0.1110210046172142|6.189510681764432e-09,1.0000001192092896,5.5406157883908236e-08|Running
-763.237060546875,171.12770080566406,859.2200317382812|0.9897569417953491,0,-0.14276279509067535|1.1780221242929656e-08,1,8.167082654608748e-08|Running
-762.7418823242188,171.12770080566406,859.1510620117188|0.9885802865028381,0,-0.1506948620080948|1.031635576964618e-08,1,6.767680105213003e-08|Running
-762.1485595703125,171.12770080566406,859.0618286132812|0.9860403537750244,0,-0.1665068417787552|1.3570603307755391e-08,1.0000001192092896,8.036403897904165e-08|Running
-761.6553344726562,171.12770080566406,858.9800415039062|0.9832529425621033,0,-0.1822466254234314|1.227658330549275e-08,1.0000001192092896,6.623434956054552e-08|Running
-760.8684692382812,171.12770080566406,858.8360595703125|0.9802151322364807,0,-0.1979351043701172|1.7798013729475315e-08,1,8.813940866048142e-08|Running
-760.0840454101562,171.12770080566406,858.679443359375|0.9786034822463989,0,-0.20575515925884247|-5.863157070962188e-09,1,-2.788608455261965e-08|Running
-759.49658203125,171.12770080566406,858.5570678710938|0.9751874208450317,0,-0.2213810235261917|-4.687434884687036e-09,1,-2.0648235121711878e-08|Running
-758.9111938476562,171.12770080566406,858.42578125|0.9733827710151672,0,-0.22918561100959778|-4.826941069069335e-09,1,-2.0500682040847096e-08|Running
-758.42431640625,171.12770080566406,858.3121337890625|0.9715090990066528,0,-0.23700256645679474|-4.137630682521376e-09,1.0000001192092896,-1.6960768789431313e-08|Running
-757.8411865234375,171.12770080566406,858.1709594726562|0.9715090990066528,0,-0.23700256645679474|-4.959325838882478e-09,1.0000001192092896,-2.0329022021314813e-08|Running
-757.5496826171875,171.12770080566406,858.10009765625|0.9715090990066528,0,-0.23700256645679474|-2.4772797146965786e-09,1.0000001192092896,-1.0154741048040705e-08|Running
-757.1610107421875,171.12770080566406,858.005615234375|0.9715090990066528,0,-0.23700256645679474|-3.300570039499462e-09,1.0000001192092896,-1.3529532161271618e-08|Running
-756.7723388671875,171.12770080566406,857.9111328125|0.9715090990066528,0,-0.23700256645679474|-3.2977514052845436e-09,1.0000001192092896,-1.3517977848209739e-08|Running
-756.3836669921875,171.12770080566406,857.816650390625|0.9715090990066528,0,-0.23700256645679474|-3.2949354356048843e-09,1.0000001192092896,-1.3506435081467316e-08|Running
-755.9949951171875,171.12770080566406,857.72216796875|0.9715090990066528,0,-0.23700256645679474|-3.292122574549694e-09,1.0000001192092896,-1.3494904749222769e-08|Running
-755.6063232421875,171.12770080566406,857.627685546875|0.9715090990066528,0,-0.23700256645679474|-3.289309269405294e-09,1.0000001192092896,-1.3483371752442963e-08|Running
-755.2176513671875,171.12770080566406,857.533203125|0.9715090990066528,0,-0.23700256645679474|-3.286498628796153e-09,1.0000001192092896,-1.3471851190161033e-08|Running
-754.7318115234375,171.12770080566406,857.4151000976562|0.9715090990066528,0,-0.23700256645679474|-4.104174333718902e-09,1.0000001192092896,-1.6823625159645417e-08|Running
-754.3431396484375,171.12770080566406,857.3206176757812|0.9715090990066528,0,-0.23700256645679474|-3.2801845684105047e-09,1.0000001192092896,-1.3445968782832551e-08|Running
-753.9544677734375,171.12770080566406,857.2261352539062|0.9715090990066528,0,-0.23700256645679474|-3.27738414185319e-09,1.0000001192092896,-1.3434489964936347e-08|Running
-753.5657958984375,171.12770080566406,857.1316528320312|0.9715090990066528,0,-0.23700256645679474|-3.2745848255189003e-09,1.0000001192092896,-1.3423014699753821e-08|Running
-753.1771240234375,171.12770080566406,857.0371704101562|0.9715090990066528,0,-0.23700256645679474|-3.2717879516752646e-09,1.0000001192092896,-1.3411550092712332e-08|Running
-752.6912841796875,171.12770080566406,856.9190673828125|0.9715090990066528,0,-0.23700256645679474|-4.085804139464244e-09,1.0000001192092896,-1.674832539322324e-08|Running
-752.3997802734375,171.12770080566406,856.8482055664062|0.9715090990066528,0,-0.23700256645679474|-2.4493884698273405e-09,1.0000001192092896,-1.0040410280964807e-08|Running
-751.9139404296875,171.12770080566406,856.7301025390625|0.9715090990066528,0,-0.23700256645679474|-4.07882705388829e-09,1.0000001192092896,-1.6719724271752057e-08|Running
-751.5250244140625,171.12770080566406,856.6369018554688|0.9715090990066528,0,-0.23700256645679474|-3.2599254407017497e-09,1.0000001192092896,-1.336292410059059e-08|Running
-751.1356811523438,171.12770080566406,856.5449829101562|0.9715090990066528,0,-0.23700256645679474|-3.2571414454451997e-09,1.0000001192092896,-1.3351511007897443e-08|Running
-750.6486206054688,171.12770080566406,856.4318237304688|0.9715090990066528,0,-0.23700256645679474|-4.067514325356569e-09,1.0000001192092896,-1.6673350700102674e-08|Running
-750.1610717773438,171.12770080566406,856.32080078125|0.9715090990066528,0,-0.23700256645679474|-4.063172909241075e-09,1.0000001192092896,-1.6655555157285562e-08|Running
-749.7709350585938,171.99314880371094,856.232177734375|0.9715090990066528,0,-0.23700256645679474|-3.2474176681063227e-09,1.0000001192092896,-1.331165222495656e-08|Running
-749.3804321289062,172.6942901611328,856.1455078125|0.9715090990066528,0,-0.23700256645679474|-3.2446452191692288e-09,1.0000001192092896,-1.3300287982076497e-08|Running
-748.9900512695312,173.5597381591797,856.05859375|0.9715090990066528,0,-0.23700256645679474|-3.24187210409832e-09,1.0000001192092896,-1.3288920186482756e-08|Running
-748.5992431640625,174.29092407226562,855.9733276367188|0.9715090990066528,0,-0.23700256645679474|-3.2391020976518803e-09,1.0000001192092896,-1.3277565713565309e-08|Running
-748.1103515625,175.04859924316406,855.8684692382812|0.9715090990066528,0,-0.23700256645679474|-4.044983459294826e-09,1.0000001192092896,-1.6580994355308576e-08|Running
-747.7192993164062,175.59585571289062,855.7844848632812|0.9715090990066528,0,-0.23700256645679474|-3.232873746483733e-09,1.0000001192092896,-1.3252035024891029e-08|Running
-747.3282470703125,176.10134887695312,855.7005004882812|0.9715090990066528,0,-0.23700256645679474|-3.230111289553861e-09,1.0000001192092896,-1.3240711638218272e-08|Running
-747.0349731445312,176.45701599121094,855.6373901367188|0.9715090990066528,0,-0.23700256645679474|-2.420772471367627e-09,1.0000001192092896,-9.92310944525343e-09|Running
-746.6436767578125,176.896728515625,855.5543823242188|0.9715090990066528,0,-0.23700256645679474|-3.2252815973521365e-09,1.0000001192092896,-1.3220913253064737e-08|Running
-746.2523803710938,177.3091278076172,855.4713745117188|0.9715090990066528,0,-0.23700256645679474|-3.2225242474481774e-09,1.0000001192092896,-1.3209611182674053e-08|Running
-745.861083984375,177.7050323486328,855.3883666992188|0.9715090990066528,0,-0.23700256645679474|-3.219771116391712e-09,1.0000001192092896,-1.3198325099494923e-08|Freefall
-745.4697875976562,178.09124755859375,855.3053588867188|0.9715090990066528,0,-0.23700256645679474|-3.2170208719151105e-09,1.0000001192092896,-1.318705145081367e-08|Freefall
-744.9806518554688,178.5609893798828,855.2017822265625|0.9715090990066528,0,-0.23700256645679474|-4.017410848433656e-09,1.0000001192092896,-1.6467970098688056e-08|Freefall
-744.5892944335938,178.87547302246094,855.1195068359375|0.9715090990066528,0,-0.23700256645679474|-3.2108402603370223e-09,1.0000001192092896,-1.3161716161391723e-08|Freefall
-744.1979370117188,179.1354522705078,855.0372314453125|0.9715090990066528,0,-0.23700256645679474|-3.2080964551539637e-09,1.0000001192092896,-1.3150468269884641e-08|Freefall
-743.708740234375,179.38377380371094,854.9343872070312|0.9715090990066528,0,-0.23700256645679474|-4.00626110064195e-09,1.0000001192092896,-1.6422266213567127e-08|Freefall
-743.3173828125,179.52113342285156,854.8521118164062|0.9715090990066528,0,-0.23700256645679474|-3.2019267237615168e-09,1.0000001192092896,-1.31251782775621e-08|Freefall
-742.926025390625,179.60398864746094,854.7698364257812|0.9715090990066528,0,-0.23700256645679474|-3.199189579916606e-09,1.0000001192092896,-1.3113957919586028e-08|Freefall
-742.53466796875,179.63233947753906,854.6875610351562|0.9715090990066528,0,-0.23700256645679474|-3.196455766740769e-09,1.0000001192092896,-1.3102751772464671e-08|Freefall
-742.143310546875,179.60618591308594,854.6052856445312|0.9715090990066528,0,-0.23700256645679474|-3.1937232858325615e-09,1.0000001192092896,-1.3091550954413833e-08|Freefall
-741.751953125,179.52554321289062,854.5230102539062|0.9715090990066528,0,-0.23700256645679474|-3.190993469459613e-09,1.0000001192092896,-1.3080360794504031e-08|Freefall
-741.16455078125,179.30238342285156,854.4013061523438|0.9715090990066528,0,-0.23700256645679474|-4.781375739781879e-09,1.0000001192092896,-1.9599577072426655e-08|Freefall
-740.77294921875,179.0854949951172,854.3202514648438|0.9715090990066528,0,-0.23700256645679474|-3.1841764780438098e-09,1.0000001192092896,-1.3052416925063426e-08|Freefall
-740.38134765625,178.81410217285156,854.2391967773438|0.9715090990066528,0,-0.23700256645679474|-3.181456653678083e-09,1.0000001192092896,-1.304126850953935e-08|Freefall
-739.891845703125,178.39820861816406,854.1378784179688|0.9715090990066528,0,-0.23700256645679474|-3.97300059518102e-09,1.0000001192092896,-1.628592549707264e-08|Freefall
-739.40234375,177.8971710205078,854.0365600585938|0.9715090990066528,0,-0.23700256645679474|-3.968759987316162e-09,1.0000001192092896,-1.626854206904227e-08|Freefall
-738.9491577148438,177.31097412109375,853.94287109375|0.9715090990066528,0,-0.23700256645679474|-3.964520267629723e-09,1.0000001192092896,-1.6251163970082416e-08|Freefall
-738.63037109375,176.78070068359375,853.876953125|0.9715090990066528,0,-0.23700256645679474|-3.1685656320945554e-09,1.0000001192092896,-1.2988426334459291e-08|Freefall
-738.3505249023438,176.19593811035156,853.819091796875|0.9715090990066528,0,-0.23700256645679474|-3.1658575760928898e-09,1.0000001192092896,-1.2977324992391459e-08|Freefall
-738.1095581054688,175.55667114257812,853.769287109375|0.9715090990066528,0,-0.23700256645679474|-3.1631508523588536e-09,1.0000001192092896,-1.2966230755750985e-08|Freefall
-737.907470703125,174.86289978027344,853.7275390625|0.9715090990066528,0,-0.23700256645679474|-3.160449013606126e-09,1.0000001192092896,-1.2955154282678905e-08|Freefall
-737.8560791015625,174.1146240234375,853.7168579101562|0.9715090990066528,0,-0.23700256645679474|-3.1577493952994473e-09,1.0000001192092896,-1.294408846774786e-08|Landed
-737.8549194335938,173.4092254638672,853.7166748046875|0.9715090990066528,0,-0.23700256645679474|-3.1550528856172377e-09,1.0000001192092896,-1.2933035975493112e-08|Landed
-737.8549194335938,173.43124389648438,853.7166748046875|0.9715090990066528,0,-0.23700256645679474|-5.514355194691234e-09,1.0000001192092896,-2.2604170979434457e-08|Running
-737.8549194335938,173.49462890625,853.7166748046875|0.9715090990066528,0,-0.23700256645679474|-4.7204644637588444e-09,1.0000001192092896,-1.9349892355080556e-08|Running
-737.5519409179688,173.52769470214844,853.814208984375|0.9715090990066528,0,-0.23700256645679474|-4.714418633255946e-09,1.0000001192092896,-1.9325110400814083e-08|Running
-737.0475463867188,173.69163513183594,853.9405517578125|0.9715090990066528,0,-0.23700256645679474|-4.708375023199096e-09,1.0000001192092896,-1.9300337328331807e-08|Running
-736.4801025390625,173.9891815185547,854.0469970703125|0.9715090990066528,0,-0.23700256645679474|-4.702341183104863e-09,1.0000001192092896,-1.9275603335699998e-08|Running
-735.9878540039062,174.1587371826172,854.123291015625|0.9715090990066528,0,-0.23700256645679474|-3.9140166663287346e-09,1.0000001192092896,-1.6044142014948193e-08|Running
-735.4937744140625,175.23202514648438,854.1983642578125|0.9715090990066528,0,-0.23700256645679474|-3.909836010507206e-09,1.0000001192092896,-1.60270055005185e-08|Running
-734.9968872070312,176.0801544189453,854.2532958984375|0.9715090990066528,0,-0.23700256645679474|-3.905658907399356e-09,1.0000001192092896,-1.600988319694352e-08|Running
-734.5996704101562,176.9456024169922,854.2994384765625|0.9715090990066528,0,-0.23700256645679474|-3.121524372318163e-09,1.0000001192092896,-1.2795597470471876e-08|Running
-734.0021362304688,177.98207092285156,854.352294921875|0.9715090990066528,0,-0.23700256645679474|-4.6772896666880115e-09,1.0000001192092896,-1.917291214681427e-08|Running
-733.106201171875,179.85269165039062,854.4368896484375|0.9715090990066528,0,-0.23700256645679474|-7.00470126346886e-09,1.0000001192092896,-2.871332327458731e-08|Running
-732.5078735351562,180.71446228027344,854.4802856445312|0.9715090990066528,0,-0.23700256645679474|-4.662324748494484e-09,1.0000001192092896,-1.911156921607926e-08|Running
-732.1087646484375,181.22305297851562,854.5068969726562|0.9715090990066528,0,-0.23700256645679474|-3.104897006167562e-09,1.0000001192092896,-1.2727438658544088e-08|Running
-731.60986328125,181.7939453125,854.5398559570312|0.9715090990066528,0,-0.23700256645679474|-3.87739129692477e-09,1.0000001192092896,-1.5894009663952602e-08|Running
-731.2107543945312,182.21974182128906,854.5660400390625|0.9715090990066528,0,-0.23700256645679474|-3.0989333321684853e-09,1.0000001192092896,-1.2702993323898681e-08|Running
-730.7118530273438,182.7144775390625,854.59765625|0.9715090990066528,0,-0.23700256645679474|-3.869942144518745e-09,1.0000001192092896,-1.586347408988331e-08|Freefall
-730.3126220703125,183.1013946533203,854.621337890625|0.9715090990066528,0,-0.23700256645679474|-3.092977651775186e-09,1.0000001192092896,-1.2678579963676384e-08|Freefall
-729.9133911132812,183.48399353027344,854.64501953125|0.9715090990066528,0,-0.23700256645679474|-3.0903342107535536e-09,1.0000001192092896,-1.2667743298777623e-08|Freefall
-729.5139770507812,183.81210327148438,854.6661376953125|0.9715090990066528,0,-0.23700256645679474|-3.0876927681333655e-09,1.0000001192092896,-1.2656916403841478e-08|Freefall
-729.0147094726562,184.14559936523438,854.6923828125|0.9715090990066528,0,-0.23700256645679474|-3.855906705041434e-09,1.0000001192092896,-1.5805941444568816e-08|Freefall
-728.6150512695312,184.35107421875,854.7108154296875|0.9715090990066528,0,-0.23700256645679474|-3.081762178780423e-09,1.0000001192092896,-1.2632606072315866e-08|Freefall
-728.2153930664062,184.50204467773438,854.7288818359375|0.9715090990066528,0,-0.23700256645679474|-3.079128507721407e-09,1.0000001192092896,-1.2621810263624411e-08|Freefall
-727.8157348632812,184.59852600097656,854.7469482421875|0.9715090990066528,0,-0.23700256645679474|-3.0764970571084405e-09,1.0000001192092896,-1.2611023336717153e-08|Freefall
-727.4160766601562,184.6405029296875,854.7650146484375|0.9715090990066528,0,-0.23700256645679474|-3.073867826941523e-09,1.0000001192092896,-1.2600245291594092e-08|Freefall
-727.0164184570312,184.6279754638672,854.7830810546875|0.9715090990066528,0,-0.23700256645679474|-3.0712423715328896e-09,1.0000001192092896,-1.2589483233682586e-08|Freefall
-726.6167602539062,184.5609588623047,854.8011474609375|0.9715090990066528,0,-0.23700256645679474|-3.0686182483918856e-09,1.0000001192092896,-1.2578727393020017e-08|Freefall
-726.1171875,184.40054321289062,854.8229370117188|0.9715090990066528,0,-0.23700256645679474|-3.832084871646657e-09,1.0000001192092896,-1.5708291556393306e-08|Freefall
-725.717529296875,184.2108917236328,854.8402709960938|0.9715090990066528,0,-0.23700256645679474|-3.0627211877742866e-09,1.0000001192092896,-1.2554553840971039e-08|Freefall
-725.31787109375,183.9667510986328,854.8576049804688|0.9715090990066528,0,-0.23700256645679474|-3.0601037259714303e-09,1.0000001192092896,-1.2543824645661061e-08|Freefall
-724.918212890625,183.66810607910156,854.8749389648438|0.9715090990066528,0,-0.23700256645679474|-3.0574878184808085e-09,1.0000001192092896,-1.2533101667600022e-08|Freefall
-724.6184692382812,183.40835571289062,854.887939453125|0.9715090990066528,0,-0.23700256645679474|-2.2914010688879216e-09,1.0000001192092896,-9.39279765077572e-09|Freefall
-724.2188110351562,183.01434326171875,854.9052734375|0.9715090990066528,0,-0.23700256645679474|-3.0529172523330317e-09,1.0000001192092896,-1.2514366432014867e-08|Freefall
-723.71923828125,182.44517517089844,854.9269409179688|0.9715090990066528,0,-0.23700256645679474|-3.812477000764147e-09,1.0000001192092896,-1.5627916738480963e-08|Freefall
-723.4194946289062,182.06280517578125,854.93994140625|0.9715090990066528,0,-0.23700256645679474|-2.285532429979753e-09,1.0000001192092896,-9.368740450099722e-09|Freefall
-722.8200073242188,181.20608520507812,854.9634399414062|0.9715090990066528,0,-0.23700256645679474|-4.5666710413172495e-09,1.0000001192092896,-1.8719468641847925e-08|Freefall
-722.3204345703125,180.3984832763672,854.982666015625|0.9715090990066528,0,-0.23700256645679474|-3.801089665245172e-09,1.0000001192092896,-1.5581235857098363e-08|Freefall
-721.7279052734375,179.42601013183594,855.0030517578125|0.9715090990066528,0,-0.23700256645679474|-4.555951171880679e-09,1.0000001192092896,-1.867552867906852e-08|Landed
-721.3408203125,179.2671661376953,855.0161743164062|0.9715090990066528,0,-0.23700256645679474|-3.0340561174568847e-09,1.0000001192092896,-1.243705227693681e-08|Landed
-720.954833984375,179.1934356689453,855.0276489257812|0.9715090990066528,0,-0.23700256645679474|-3.0314624144267555e-09,1.0000001192092896,-1.242641989307458e-08|Running
-720.4723510742188,180.2667236328125,855.0416870117188|0.9715090990066528,0,-0.23700256645679474|-3.785683322377054e-09,1.0000001192092896,-1.5518084595100845e-08|Running
-719.9745483398438,181.11282348632812,855.0532836914062|0.9715090990066528,0,-0.23700256645679474|-3.781641666478208e-09,1.0000001192092896,-1.5501518291216598e-08|Running
-719.4789428710938,182.1861114501953,855.065185546875|0.9715090990066528,0,-0.23700256645679474|-3.7776040073822514e-09,1.0000001192092896,-1.5484966198187067e-08|Running
-719.0794677734375,182.87982177734375,855.06591796875|0.9715090990066528,0,-0.23700256645679474|-3.0191773525700683e-09,1.0000001192092896,-1.2376061064856003e-08|Running
-718.4796752929688,183.7252960205078,855.0562133789062|0.9715090990066528,0,-0.23700256645679474|-4.523934116207329e-09,1.0000001192092896,-1.8544286106703112e-08|Running
-717.9802856445312,184.3604736328125,855.0426025390625|0.9715090990066528,0,-0.23700256645679474|-3.7655194518038115e-09,1.0000001192092896,-1.543543071136355e-08|Running
-717.4815673828125,184.93251037597656,855.0226440429688|0.9715090990066528,0,-0.23700256645679474|-3.76149689174099e-09,1.0000001192092896,-1.54189407908234e-08|Running
-716.9837036132812,185.4617156982422,854.9989624023438|0.9715090990066528,0,-0.23700256645679474|-3.757482325283945e-09,1.0000001192092896,-1.5402484621063195e-08|Freefall
-716.4869995117188,185.96102905273438,854.9732666015625|0.9715090990066528,0,-0.23700256645679474|-3.75346997927295e-09,1.0000001192092896,-1.5386037333087188e-08|Freefall
-716.0903930664062,186.3517608642578,854.9577026367188|0.9715090990066528,0,-0.23700256645679474|-2.9998887818294406e-09,1.0000001192092896,-1.2296994533755878e-08|Freefall
-715.59521484375,186.82179260253906,854.9324951171875|0.9715090990066528,0,-0.23700256645679474|-3.7462557500589355e-09,1.0000001192092896,-1.5356464544424853e-08|Freefall
-715.1005249023438,187.29153442382812,854.9072875976562|0.9715090990066528,0,-0.23700256645679474|-3.7422545062781865e-09,1.0000001192092896,-1.534006344172667e-08|Freefall
-714.7059936523438,187.60601806640625,854.8470458984375|0.9715090990066528,0,-0.23700256645679474|-2.990925507262432e-09,1.0000001192092896,-1.2260252368889724e-08|Freefall
-714.1152954101562,187.9755401611328,854.741455078125|0.9715090990066528,0,-0.23700256645679474|-4.4815986477431125e-09,1.0000001192092896,-1.8370746701634744e-08|Freefall
-713.72216796875,188.1537628173828,854.6675415039062|0.9715090990066528,0,-0.23700256645679474|-2.9845401705586028e-09,1.0000001192092896,-1.2234077750861161e-08|Freefall
-713.2311401367188,188.29991149902344,854.5730590820312|0.9715090990066528,0,-0.23700256645679474|-3.727088415672597e-09,1.0000001192092896,-1.527789450506134e-08|Freefall
-712.7406005859375,188.36090087890625,854.4765014648438|0.9612077474594116,0,-0.2758253812789917|-4.23915125224994e-09,1,-1.4772769674209485e-08|Freefall
-712.2542114257812,188.33673095703125,854.3607788085938|0.9442545175552368,0,-0.32921653985977173|-4.884705528951372e-09,1.0000001192092896,-1.4010247184614855e-08|Freefall
-711.7750854492188,188.2274169921875,854.2183837890625|0.9319210052490234,0,-0.3626612424850464|-5.247616563508473e-09,1,-1.3484661387508368e-08|Freefall
-711.30322265625,188.03292846679688,854.0531005859375|0.9245365262031555,0,-0.3810936212539673|-5.430801586214784e-09,1.0000001192092896,-1.31751729526286e-08|Freefall
-710.8350219726562,187.7532958984375,853.8776245117188|0.9151431322097778,0,-0.4031292796134949|-5.636707545164654e-09,1.0000001192092896,-1.279588079938776e-08|Freefall
-710.3718872070312,187.3885040283203,853.6890869140625|0.907727062702179,0,-0.41956132650375366|-5.778185041549477e-09,1.0000001192092896,-1.2501187640623357e-08|Freefall
-709.913330078125,186.9385528564453,853.4899291992188|0.9009575843811035,0,-0.4339074194431305|-5.8932130286848405e-09,1.0000001192092896,-1.2236561985901062e-08|Freefall
-709.3680419921875,186.28622436523438,853.239501953125|0.8982992768287659,0,-0.43938419222831726|-7.116755185165857e-09,1,-1.4549854654433148e-08|Freefall
-708.9151000976562,185.64892578125,853.0278930664062|0.893852710723877,0,-0.4483606815338135|-5.99394622824434e-09,1,-1.1949542688682868e-08|Freefall
-708.4651489257812,184.92648315429688,852.809814453125|0.8902631402015686,0,-0.4554465711116791|-6.04092065259465e-09,1,-1.1808210409469666e-08|Freefall
-708.017822265625,184.2036590576172,852.5862426757812|0.8866425156593323,0,-0.4624554514884949|-6.0853917460690354e-09,1,-1.166721474987753e-08|Landed
-707.661376953125,184.18646240234375,852.40478515625|0.8866425156593323,0,-0.4624554514884949|-4.863637048657665e-09,1,-9.324805816390835e-09|Landed
-707.1282348632812,184.29844665527344,852.1295776367188|0.8828761577606201,0,-0.4696058928966522|-7.347619845887721e-09,1,-1.3813792776318223e-08|Landed
-706.685546875,184.35052490234375,851.897216796875|0.8790778517723083,0,-0.4766783118247986|-6.16327389124649e-09,1.0000001192092896,-1.1366150687308618e-08|Running
-706.1575927734375,184.37893676757812,851.6121215820312|0.8752606511116028,0,-0.48365169763565063|-7.441058880175433e-09,1,-1.34660247397278e-08|Running
-705.7206420898438,184.38919067382812,851.3689575195312|0.8713211417198181,0,-0.4907132387161255|-6.237021565880241e-09,1,-1.1074591910187337e-08|Running
-705.2867431640625,184.3939666748047,851.1204833984375|0.8633336424827576,0,-0.5046336054801941|-6.3100049629838395e-09,1,-1.0795236704552735e-08|Running
-704.8565063476562,184.39620971679688,850.8657836914062|0.85941481590271,0,-0.5112788677215576|-6.3384506532315754e-09,1,-1.0654378712615653e-08|Running
-704.5147094726562,184.39710998535156,850.6580200195312|0.8510122895240784,0,-0.525145947933197|-5.119770385419997e-09,1,-8.296717091127448e-09|Running
-704.0928344726562,184.3976593017578,850.3896484375|0.8468682169914246,0,-0.5318027138710022|-6.422920417747946e-09,1,-1.0228167646175734e-08|Running
-703.7572021484375,184.3979034423828,850.172119140625|0.842581570148468,0,-0.5385686159133911|-5.155640803167216e-09,1,-8.065914158805754e-09|Running
-703.3406982421875,184.39805603027344,849.8955078125|0.842581570148468,0,-0.5385686159133911|-6.438359179128383e-09,1,-1.0072704448305103e-08|Running
-702.9244384765625,184.39813232421875,849.618408203125|0.842581570148468,0,-0.5385686159133911|-6.431483789981485e-09,1,-1.0061948607642535e-08|Running
-702.5914306640625,184.39813232421875,849.396728515625|0.842581570148468,0,-0.5385686159133911|-5.140242453904875e-09,1,-8.041823207349807e-09|Running
-702.2584228515625,184.39813232421875,849.175048828125|0.842581570148468,0,-0.5385686159133911|-5.135853520243927e-09,1,-8.034956699987106e-09|Running
-701.9247436523438,184.39813232421875,848.9544067382812|0.842581570148468,0,-0.5385686159133911|-5.131465030672189e-09,1,-8.028091080802824e-09|Running
